ticker,block_index,archetype,category,cell,score,reason_cell,reason_text,confidence,source,composite_0_10,composite_0_100
AAOI,1,C: High Growth,Valuation,C2,6,D2,FCF yield                                           -4.7%  -> F (1.5)   band: < 1.0% | PEG                                                  0.78  -> A (9.5)   band: <= 1.00,medium,auto,5.55,55.5
AAOI,1,C: High Growth,Growth,C3,10,D3,Fwd revenue growth (high-growth bands)             149.9%  -> A (9.5)   band: >= 40.0% | Rule of 40 (growth% + FCF margin%)                  67.45  -> A (9.5)   band: >= 50 | Gross margin                                        30.0%  -> F (1.5)   band: < 35.0%,high,auto,5.55,55.5
AAOI,1,C: High Growth,Profitability,C4,2,D4,ROIC 3-yr average                                  -23.9%  -> F (1.5)   band: < 4.0% | ROIC persistence (share of yrs >12%)                 0.0%  -> F (1.5)   band: < 20.0% | Gross margin vs peer set                            20.0%  -> F (1.5)   band: < 25.0% | Return on equity                                    -6.1%  -> F (1.5)   band: < 5.0%,high,auto,5.55,55.5
AAOI,1,C: High Growth,Financials,C5,2,D5,Cash runway (yrs) -- dominant when FCF-negative          0.49y  -> F (1.5)   band: < 1.50y | Net debt / EBITDA                                  -1.53x  -> A (9.5)   band: <= 0.50x | Diluted share count 3-yr CAGR                       29.3%  -> F (1.5)   band: > 6.0%,high,auto,5.55,55.5
AAOI,1,C: High Growth,Business Quality,C6,3,D6,"ROIC persistence (share of yrs >12%)                 0.0%  -> F (1.5)   band: < 20.0% | Gross margin stability (band, bps)               +1495bps  -> D (3.5)   band: <= +1500bps",medium,tier3,5.55,55.5
AAOI,1,C: High Growth,Management,C7,2,D7,"SBC as % of revenue                                  2.7%  -> A (9.5)   band: <= 5.0% | EPS beats, last 8Q                                      1  -> F (1.5)   band: < 2 | Insider net open-market activity                       -2  -> F (1.5)   band: < -1.50",high,auto,5.55,55.5
AAOI,1,C: High Growth,Income,C8,8,D8,Revenue change in weakest year shown                -2.3%  -> B (7.5)   band: >= -5.0%,low,tier3,5.55,55.5
AAOI,1,C: High Growth,Market Sentiment,C9,4,D9,Short interest % of float                           12.9%  -> D (3.5)   band: <= 15.0% | Institutional ownership trend                           1  -> A (9.5)   band: >= 0.50 | Insider net open-market activity (6mo)                 -2  -> F (1.5)   band: < -1.50,high,auto,5.55,55.5
AAOI,1,C: High Growth,EPS/Revison Trends,C10,10,D10,"FY2 consensus EPS change vs 3mo ago                 49.2%  -> A (9.5)   band: >= 5.0% | Revision breadth (share up)                        100.0%  -> A (9.5)   band: >= 70.0% | EPS beats, last 8Q                                      1  -> F (1.5)   band: < 2",medium,auto,5.55,55.5
AAOI,1,C: High Growth,Industry/Sector Tailwinds,C11,10,D11,Peer-median fwd revenue growth                      32.4%  -> A (9.5)   band: >= 10.0%,low,auto,5.55,55.5
AAPL,2,A: Mature Cash Generator,Valuation,C15,5,D15,FCF yield                                            3.1%  -> C (5.5)   band: >= 2.5% | Fwd P/E vs own 5-yr median                          -3.5%  -> C (5.5)   band: >= -10.0% | Fwd TEV/EBITDA vs peer median                      -16.1%  -> D (3.5)   band: >= -30.0% | PEG                                                  2.46  -> D (3.5)   band: <= 2.50,high,auto,7.2,72.0
AAPL,2,A: Mature Cash Generator,Growth,C16,8,D16,Fwd revenue growth                                   9.7%  -> B (7.5)   band: >= 8.0% | Fwd EPS growth                                       8.8%  -> C (5.5)   band: >= 5.0% | 3-yr gross margin trend (bps)                     +360bps  -> A (9.5)   band: >= +100bps,high,auto,7.2,72.0
AAPL,2,A: Mature Cash Generator,Profitability,C17,10,D17,ROIC 3-yr average                                   73.4%  -> A (9.5)   band: >= 20.0% | ROIC persistence (share of yrs >12%)               100.0%  -> A (9.5)   band: >= 80.0% | Gross margin vs peer set                           100.0%  -> A (9.5)   band: >= 75.0% | Return on equity                                   148.8%  -> A (9.5)   band: >= 20.0%,high,auto,7.2,72.0
AAPL,2,A: Mature Cash Generator,Financials,C18,6,D18,Net debt / EBITDA                                   0.37x  -> A (9.5)   band: <= 0.50x | EBIT / interest expense                           999.00x  -> A (9.5)   band: >= 12.00x | FCF / net income (3-yr)                            101.5%  -> A (9.5)   band: >= 100.0% | Diluted share count 3-yr CAGR                       -2.8%  -> A (9.5)   band: <= 0.0%,high,auto,7.2,72.0
AAPL,2,A: Mature Cash Generator,Business Quality,C19,9,D19,"ROIC persistence (share of yrs >12%)               100.0%  -> A (9.5)   band: >= 80.0% | Gross margin stability (band, bps)                +360bps  -> B (7.5)   band: <= +400bps",medium,tier3,7.2,72.0
AAPL,2,A: Mature Cash Generator,Management,C20,6,D20,"SBC as % of revenue                                  2.9%  -> A (9.5)   band: <= 5.0% | EPS beats, last 8Q                                      4  -> C (5.5)   band: >= 4 | Insider net open-market activity                       -2  -> F (1.5)   band: < -1.50",high,auto,7.2,72.0
AAPL,2,A: Mature Cash Generator,Income,C21,8,D21,Revenue change in weakest year shown                -2.8%  -> B (7.5)   band: >= -5.0%,low,tier3,7.2,72.0
AAPL,2,A: Mature Cash Generator,Market Sentiment,C22,6,D22,Short interest % of float                            1.0%  -> A (9.5)   band: <= 2.0% | Institutional ownership trend                           0  -> C (5.5)   band: >= -0.50 | Insider net open-market activity (6mo)                 -2  -> F (1.5)   band: < -1.50,high,auto,7.2,72.0
AAPL,2,A: Mature Cash Generator,EPS/Revison Trends,C23,6,D23,"FY2 consensus EPS change vs 3mo ago                  0.1%  -> C (5.5)   band: >= -2.0% | Revision breadth (share up)                         88.9%  -> A (9.5)   band: >= 70.0% | EPS beats, last 8Q                                      4  -> C (5.5)   band: >= 4",high,auto,7.2,72.0
AAPL,2,A: Mature Cash Generator,Industry/Sector Tailwinds,C24,8,D24,Peer-median fwd revenue growth                       9.7%  -> B (7.5)   band: >= 5.0%,low,auto,7.2,72.0
ABVX,3,E: Early Biotech,Valuation,C28,2,D28,FCF yield                                           -1.9%  -> F (1.5)   band: < 1.0%,low,auto,4.95,49.5
ABVX,3,E: Early Biotech,Growth,C29,8,D29,Fwd revenue growth                                  10.4%  -> B (7.5)   band: >= 8.0%,low,auto,4.95,49.5
ABVX,3,E: Early Biotech,Profitability,C30,2,D30,ROIC 3-yr average                                -6340.6%  -> F (1.5)   band: < 4.0% | ROIC persistence (share of yrs >12%)                 0.0%  -> F (1.5)   band: < 20.0% | Return on equity                                  -157.1%  -> F (1.5)   band: < 5.0%,high,auto,4.95,49.5
